1,Fanta Citron 50 CL,Fanta Citron 50 CL from Icupa in category Beer,out of stock,new,5000 USD,https://example.com/fanta-citron-50-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2Fcitron%2050cl.png?alt=media&token=6b7db780-0fae-4a65-8175-3832fb29f390,Icupa,Beer
2,Turbo King 50 CL,Turbo King 50 CL from Icupa in category Beer,out of stock,new,6000 USD,https://example.com/turbo-king-50-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2FTurbo%20King%2050%20CL.png?alt=media&token=8119a4cc-494d-49d9-a643-4129e9f69850,Icupa,Beer
3,Fanta Citron 30 CL,Fanta Citron 30 CL from Icupa in category Beer,out of stock,new,5000 USD,https://example.com/fanta-citron-30-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2FFanta%20Citron%2030%20CL.png?alt=media&token=f8bdfada-7d77-4d45-902e-ad38606238e4,Icupa,Beer
4,Heineken 33 CL,Heineken 33 CL from Icupa in category Beer,out of stock,new,6000 USD,https://example.com/heineken-33-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2FHeineken%2033%20CL.png?alt=media&token=c1b3c0a7-80ba-4f77-87f1-b8e6ea220188,Icupa,Beer
5,Mützig 65 CL,Mützig 65 CL from Icupa in category Beer,out of stock,new,5000 USD,https://example.com/mutzig-65-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2FMu%CC%88tzig%2065%20CL.png?alt=media&token=efb251bb-ba65-4eaf-9f6b-9df3a8a39ce2,Icupa,Beer
6,Sprite 30 CL,Sprite 30 CL from Icupa in category Beer,out of stock,new,1 USD,https://example.com/sprite-30-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2FSprite%2050%20CL.png?alt=media&token=2b3981b4-f181-4f61-b231-aeca731449ec,Icupa,Beer
7,Fanta Citron 150 CL,Fanta Citron 150 CL from Icupa in category Beer,out of stock,new,5000 USD,https://example.com/fanta-citron-150-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2Fcitron%201.5%20L.png?alt=media&token=d38ae56e-bec0-4b17-89d2-99a593e7b043,Icupa,Beer
8,Fanta Orange 50 CL,Fanta Orange 50 CL from Icupa in category Beer,out of stock,new,5000 USD,https://example.com/fanta-orange-50-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2Forange%2050%20cl.png?alt=media&token=dbbfcabe-7f14-4479-877b-3d21f57427fc,Icupa,Beer
9,Fanta Pineapple 30 CL,Fanta Pineapple 30 CL from Icupa in category Beer,out of stock,new,5000 USD,https://example.com/fanta-pineapple-30-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2FFanta%20Pineapple%20150%20CL.png?alt=media&token=34946858-dab5-46a5-beb5-f4a058308bb7,Icupa,Beer
10,Fanta Pineapple 30 CL,Fanta Pineapple 30 CL from Icupa in category Soft drinks,out of stock,new,1 USD,https://example.com/fanta-pineapple-30-cl,https://firebasestorage.googleapis.com/v0/b/icupa-396da.appspot.com/o/products_image%2Fpineapple%2030%20cl.png?alt=media&token=db145b42-5509-40b2-881d-1406b9bf86b9,Icupa,Soft drinks
